date_publish,hostile_encounter,quantified_mass,death,buildings,attack,besieging,destroying,committing_crime,terrorism,killing,military_operation,firing,explosion,surrendering,violence,rebellion,subversion,counterattack,arson
2023-11-16 09:05:29,5.0,1.0,1.0,5.0,,,,,,,,,,,,,,,
2023-11-13 18:24:13,1.0,,,,2.0,,,,,,,,,,,,,,
2023-11-06 08:39:55,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,
2024-02-16 23:00:47,,3.0,1.0,,1.0,,,,,,,,,,,,,,
2023-11-27 18:54:31,1.0,2.0,,,3.0,,,6.0,1.0,,,,,,,,,,
2023-12-26 17:51:27,15.0,2.0,2.0,5.0,20.0,1.0,,,,6.0,,,,,,,,,
2023-11-27 00:00:00,1.0,,,2.0,,,,,,,,,,,,,,,
2023-11-30 16:15:36,4.0,3.0,,,5.0,,,2.0,3.0,4.0,,,,,,,,,
2023-11-13 10:15:14,,,2.0,,,,,,,,,,,,,,,,
2024-02-12 00:18:32,,,,,,,,,,,,,,,,,,,
2024-01-19 18:35:37,,,3.0,,1.0,,,,,1.0,,,,,,,,,
2023-11-17 08:29:44,4.0,8.0,1.0,15.0,5.0,,1.0,,,3.0,,,,,,,,,
2023-11-29 22:14:51,2.0,3.0,,,,,,,,,,,,,,,,,
2024-02-03 17:08:24,,7.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,
2024-02-13 10:16:43,2.0,,,,,,,,,,,,,,,,,,
2023-12-01 21:22:52,,1.0,,,2.0,,,,,,,,,,,,,,
2023-12-04 08:53:26,,1.0,,,1.0,,,,,,,,,,,,,,
2023-11-17 03:04:08,,,2.0,,1.0,,,,,,,,,,,,,,
2023-11-01 05:23:32,9.0,6.0,,2.0,13.0,,1.0,,,5.0,,,,,,,,,
2023-12-24 04:51:30,,,,1.0,1.0,,,1.0,,2.0,,3.0,,,,,,,
2024-02-19 17:04:09,,1.0,,,,,,,,,,,,,,,,,
2023-12-17 20:38:05,,,,,,,,,,,,,,,,,,,
2024-01-17 19:51:02,3.0,1.0,2.0,4.0,,,,,,2.0,,1.0,,,,,,,
2023-11-08 17:33:31,,,,,,,,,,,,,,,,,,,
2023-11-28 17:52:35,1.0,3.0,,1.0,5.0,,,,,5.0,,,,,,,,,
2024-01-27 10:00:35,6.0,6.0,2.0,11.0,8.0,,1.0,1.0,,2.0,,1.0,,,,,,,
2024-02-08 19:47:00,2.0,6.0,1.0,,17.0,,,,,10.0,,,,,,,,,
2023-11-20 20:55:41,3.0,1.0,,,3.0,,1.0,2.0,2.0,2.0,,,,,,,,,
2024-01-23 14:00:20,2.0,,1.0,,1.0,,2.0,,,2.0,,,,,,,,,
2023-11-19 18:08:30,1.0,2.0,1.0,6.0,,,2.0,,,,,,1.0,,,,,,
2023-12-05 19:36:20,1.0,6.0,,1.0,,,,,,1.0,,,,,,,,,
2023-11-17 15:18:29,4.0,3.0,,4.0,1.0,,,,,,,,,2.0,,,,,
2023-11-13 19:31:31,2.0,,,,,,,,,,,,,,,,,,
2023-11-18 22:44:57,2.0,,,1.0,5.0,,,,2.0,1.0,,,,,,,,,
2023-11-09 16:05:05,3.0,1.0,,,1.0,,,,,,,,,,,,,,
2023-11-06 17:00:43,,3.0,,4.0,,,,1.0,,,,,,,,,,,
2023-11-10 11:49:43,8.0,2.0,,,6.0,,,1.0,9.0,10.0,,,,,,,,,
2023-12-01 13:59:58,,3.0,3.0,3.0,10.0,,,,8.0,6.0,,,,,,,,,
2023-11-11 19:30:51,3.0,6.0,2.0,,4.0,,,,,3.0,,,,,,,,,
2023-11-12 18:54:22,3.0,7.0,,1.0,2.0,,,,2.0,2.0,,,,,,,,,
2024-02-16 00:30:15,,2.0,,4.0,,,,,,1.0,,2.0,,,,,,,
2023-12-22 14:00:05,4.0,,,3.0,2.0,,,,,2.0,,,,,,,,,
2023-11-09 01:40:17,,,,,,,,,,,,,,,,,,,
2023-11-05 06:00:03,13.0,,,3.0,1.0,,,,,4.0,,,,,,,,,
2023-11-16 19:20:33,3.0,,,7.0,4.0,,,,,2.0,,,,,,,,,
2023-11-27 19:43:11,3.0,3.0,2.0,2.0,8.0,,,,,1.0,,,,,,,,,
2024-01-26 05:00:22,7.0,,,,5.0,,,,,1.0,,,,,,,,,
2023-12-19 06:00:18,1.0,1.0,1.0,2.0,1.0,,,,,2.0,,,,,1.0,,,,
2024-01-09 11:23:48,4.0,2.0,2.0,,6.0,,,,1.0,6.0,,,,,,,,,
2023-12-05 22:04:01,,,,,2.0,,,,,1.0,,,,,,,,,
2023-11-18 15:58:40,,,,,3.0,,,,3.0,6.0,,,,,,,,,
2023-11-07 18:46:41,1.0,1.0,,,1.0,,,2.0,,,,,,,,,,,
2023-11-16 15:30:43,3.0,,,,1.0,,1.0,,,,,,,,,,,,
2023-11-16 20:25:40,1.0,,,,,,,,,,,,,,,,,,
2023-12-30 12:00:32,1.0,1.0,1.0,,,,,,,,,,,,,,,,
2024-01-23 08:26:56,6.0,,,2.0,6.0,,,,,,,,1.0,,,,,,
2023-12-18 20:28:39,6.0,4.0,2.0,20.0,4.0,,1.0,,3.0,13.0,,,,,,,,,
2024-02-09 15:12:33,4.0,7.0,,1.0,4.0,,,,1.0,7.0,,,,,,,,,
2023-11-07 20:16:03,,1.0,4.0,1.0,14.0,,,,9.0,14.0,,,,,,,,,
2023-11-10 13:23:46,,,,,,,,,,,,,,,,,,,
2023-11-16 21:59:41,1.0,2.0,,,,,,,,,,,,,,,,,
2023-11-24 17:29:56,,1.0,,1.0,,,,,,,,,,,,,,,
2024-02-15 00:00:00,2.0,,,,,,,,,,,,,,,1.0,,,
2023-11-01 21:33:10,5.0,5.0,2.0,2.0,17.0,,2.0,2.0,2.0,7.0,,,,,1.0,,,,
2023-11-17 23:33:34,3.0,1.0,,,2.0,,,,,,,,,,,,,,
2023-12-21 23:39:30,3.0,,1.0,2.0,2.0,,,,,1.0,,1.0,,,,,,,
2023-11-27 10:32:25,2.0,2.0,,,,,,,,,,,,,,,,,
2023-12-28 12:34:16,4.0,2.0,2.0,,5.0,,1.0,,,4.0,,,,1.0,,,,,
2023-11-21 11:25:57,2.0,,,,,,,,,,,,,,,,,,
2023-12-24 17:14:22,,3.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,
2023-11-21 06:22:43,1.0,5.0,1.0,1.0,1.0,,3.0,,1.0,1.0,,,,,,,,,
2023-11-23 06:40:20,,4.0,2.0,6.0,,,,,,,,,,,,,,,
2024-02-07 09:04:14,1.0,2.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,
2023-11-10 10:41:09,2.0,,,,1.0,,,,,1.0,,,,,,,,,
2024-01-16 03:00:11,,3.0,,2.0,1.0,,1.0,1.0,,6.0,,,,,,,,,
2023-12-04 21:01:14,2.0,5.0,,,2.0,,,,2.0,,,,,,,,,,
2023-11-07 14:52:52,8.0,,2.0,3.0,1.0,,,,,3.0,,,,,,,,,
2024-01-15 19:38:08,2.0,,,,,,,,,,,,,,,,,,
2023-11-03 14:00:11,7.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,
2023-12-25 06:48:06,2.0,2.0,1.0,1.0,4.0,2.0,,,,7.0,,,,,,,,,
2023-12-25 02:44:51,,1.0,,,1.0,,,,,,,,,,,,,,
2024-01-13 00:02:05,,,,,,,,,,,,,,,,,,,
2023-12-15 10:00:25,2.0,3.0,,2.0,4.0,,1.0,,1.0,4.0,,,,,,,,,
2023-11-06 10:33:15,5.0,,,,,,,,,3.0,,,,,,,,,
2023-11-15 11:34:59,1.0,6.0,,,,,,,,,,,,,,,1.0,,
2023-11-09 16:45:46,,,,,4.0,,,,,,,,,,,,,,
2023-11-27 06:12:17,1.0,1.0,1.0,7.0,4.0,,,4.0,,6.0,,,,,,,,,
2023-11-29 08:37:40,9.0,4.0,,3.0,5.0,,1.0,,,6.0,,1.0,,,,,,,
2023-11-09 16:04:42,7.0,2.0,,3.0,15.0,,4.0,,1.0,2.0,,,,,,,,,
2023-12-24 17:58:18,5.0,2.0,,2.0,4.0,,1.0,,,6.0,,,,,,,,,
2023-11-17 06:59:25,3.0,8.0,,1.0,3.0,,,,,2.0,,,,,,,,,
2023-12-27 18:00:12,14.0,2.0,,2.0,1.0,,1.0,,,1.0,,,,,,,,,
2023-12-11 22:01:11,,1.0,,,,1.0,,,1.0,,,,,,,,,,
2023-11-19 14:10:26,,1.0,,1.0,,,,,,,,,,,,,,,
2023-11-01 04:37:28,11.0,,,,,,,,,,,,,,,,,,
2023-11-14 12:56:43,12.0,1.0,,,2.0,,,1.0,,3.0,,,,,,,,,
2024-01-30 23:45:49,8.0,2.0,2.0,1.0,6.0,,,,,5.0,,,,,,,,,
2023-11-17 14:00:12,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,
2024-01-12 15:05:41,4.0,,,,,,1.0,,,1.0,,,,,,,,,
2023-11-07 05:27:34,,,,,2.0,,,,,2.0,,,,,,,,,
2023-11-11 01:16:27,,,,1.0,1.0,,,,,,,,,,,,,,
2023-12-21 09:25:12,,3.0,,1.0,,,,,,,,,,,,,,,
2024-02-17 15:59:22,,1.0,1.0,,,,,,,,,,,,,,,,
2024-01-16 10:59:27,2.0,,,,6.0,,,,,11.0,,,,,,,,,
2023-11-08 16:21:53,,4.0,,2.0,4.0,,,,1.0,2.0,,1.0,1.0,,,,,,
2023-11-03 14:50:03,5.0,4.0,1.0,9.0,11.0,,5.0,,,5.0,,,,,,,,,
2023-11-07 21:57:35,4.0,1.0,1.0,1.0,,,,,,2.0,,,,,,,,,
2023-11-17 04:19:57,6.0,8.0,2.0,6.0,8.0,,2.0,,,7.0,,,,,,,,,
2024-02-05 12:31:55,2.0,2.0,,,,,,,,,,1.0,,,,,,,
2024-02-18 12:21:51,,,,,,,,,,,,,,,,,,,
2023-11-11 22:35:12,9.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,
2023-12-14 00:04:18,,,,,1.0,,,,,2.0,,,,,,,,,
2023-12-13 20:34:13,4.0,1.0,,1.0,8.0,,1.0,2.0,2.0,2.0,,1.0,,,,,,,
2023-11-25 16:15:22,2.0,2.0,,4.0,5.0,1.0,,,2.0,1.0,,,,,,,,,
2024-01-11 17:12:46,6.0,1.0,3.0,,3.0,,,2.0,,9.0,,,,,,,,,
2023-11-01 11:37:17,11.0,,,1.0,6.0,,1.0,,2.0,3.0,,,,,,,,,
2023-11-01 13:56:13,,,,,,,,,,,,,,,,,,,
2023-11-13 20:48:50,8.0,3.0,2.0,15.0,5.0,1.0,,,,3.0,,,,,,,,,
2024-02-13 02:59:28,,7.0,,2.0,,,,,3.0,,,1.0,,,,,,,
2023-11-10 14:52:39,2.0,1.0,,,,,,,,1.0,,,,,,,,,
2023-11-08 22:17:01,1.0,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,
2024-01-09 21:29:50,2.0,4.0,,1.0,,,,,,,,,,,,,,,
2023-11-03 17:06:55,2.0,3.0,,,2.0,,,,,3.0,,,,,,,,,
2023-12-06 18:48:50,4.0,2.0,,,,,,,,3.0,,,,2.0,,,,1.0,
2023-11-22 13:24:32,2.0,,,,2.0,,1.0,,,3.0,,,,,,,,,
2023-11-16 20:23:27,,,,,,,,,,,,,,,,,,,
2023-12-26 07:47:39,5.0,,1.0,2.0,,,1.0,,,,,,,,,,,,
2023-11-01 11:39:19,7.0,,,,,,,,,,,,,,,,,,
2024-01-15 14:09:29,,1.0,,4.0,,,,,,,,,,,,,,,
2023-11-18 19:00:29,1.0,7.0,,,,,,,,2.0,,,,,,,,,
2023-12-19 18:32:34,,2.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,
2023-11-14 04:01:36,2.0,,,,,,,,,,,1.0,,,,,,,
2023-12-31 13:08:22,,2.0,6.0,2.0,,,,,,,,,,,,,,,
2024-02-07 18:05:08,,,3.0,,1.0,,,,,1.0,,,,,,,,,
2024-01-10 02:02:45,,11.0,,,,,,,1.0,,,,,,,,,,
2024-01-10 09:22:06,1.0,,,,,,,,,,,1.0,,,,,,,
2023-11-09 00:40:52,1.0,5.0,1.0,,4.0,,,,,2.0,,,,,,,1.0,,
2023-11-17 14:16:15,,,,,,,,,,,,,,,,,,,
2024-02-18 05:55:54,4.0,2.0,3.0,9.0,11.0,,1.0,,,3.0,,,1.0,,,,,,
2023-11-01 00:00:00,6.0,5.0,,,1.0,,,,1.0,,,,,,,,,,
2023-11-14 13:22:34,,1.0,,,,,,,,,,,,,,,,,
2024-01-03 10:13:58,1.0,5.0,,,,,,,,,,,,,,,,,
2024-01-08 14:04:54,3.0,3.0,,6.0,1.0,,,,,1.0,,,,,,,,,
2023-11-20 09:23:10,4.0,1.0,,1.0,3.0,,,,1.0,2.0,,,,,,,,,
2023-12-08 18:30:04,3.0,2.0,5.0,1.0,1.0,,2.0,,,6.0,,,,,,,,,
2023-11-09 04:34:33,7.0,3.0,1.0,5.0,2.0,,,2.0,2.0,1.0,,,,,,,,,
2023-11-27 15:32:25,3.0,,,,,,,1.0,,,,,,,,,,,
2023-12-14 13:06:55,,,,,,,,,,,,,,,,,,,
2024-02-05 12:00:57,2.0,,,1.0,2.0,,,,,1.0,,,,,,,,,
2024-01-18 15:37:49,1.0,2.0,,4.0,25.0,,,,4.0,7.0,,,,,,,,,
2023-12-11 13:28:11,1.0,1.0,,,,,1.0,1.0,,4.0,,,,,,,,,
2024-01-29 23:35:29,,,,,1.0,,,,,,,,,,,,,,
2024-01-26 13:10:10,3.0,,1.0,,3.0,,1.0,1.0,1.0,7.0,,,,,,,,,
2024-01-14 20:31:25,,,,2.0,,,,,,,,,,,,,,,
2024-01-06 11:21:40,,,,,,,,,,,,,,,,,,,
2023-12-14 06:40:45,1.0,1.0,,,3.0,,,1.0,,,,,,,,,,,
2024-01-03 12:57:52,1.0,5.0,1.0,4.0,,,,,,,,,,,,,,,
2023-11-04 16:43:43,,,,,,,,,,,,,,,,,,,
2023-11-17 16:06:41,1.0,1.0,,,,,,1.0,6.0,,,,,,,,,,
2024-01-17 18:37:27,1.0,6.0,,,,1.0,,,,,,,,,,,,,
2023-12-01 04:24:44,8.0,6.0,,2.0,4.0,,1.0,,,5.0,,,,,,,1.0,,
2024-02-11 15:55:53,1.0,1.0,7.0,1.0,2.0,,,,,,,,,,,,,,
2024-02-21 17:26:21,,,5.0,,,,,,,1.0,,,,,,,,,
2024-01-22 21:34:21,10.0,1.0,,,2.0,,,,,1.0,,1.0,,,,,,,
2024-02-14 13:40:12,2.0,2.0,,3.0,2.0,,,2.0,1.0,1.0,1.0,,,,,,,,
2024-01-01 12:17:14,3.0,,1.0,2.0,2.0,,,,1.0,3.0,,,,,,,,,
2023-12-02 18:13:08,10.0,4.0,,2.0,5.0,1.0,,,3.0,6.0,,,,,,1.0,,,
2023-11-08 18:30:36,,,,,,,,,,,,,,,,,,,
2023-11-05 06:00:01,2.0,3.0,,9.0,,,2.0,,1.0,1.0,,,,,,,,,
2023-11-25 08:01:55,,1.0,,,3.0,,2.0,1.0,8.0,1.0,,,,,,,,,
2023-12-18 00:46:39,4.0,1.0,,1.0,,,,,,,,,,,,,,,
2023-12-12 17:02:37,5.0,1.0,,12.0,7.0,1.0,,,,6.0,,,,,,,,,
2023-11-11 01:16:37,4.0,2.0,,1.0,1.0,,,,3.0,,,,1.0,,,,,,
2023-11-21 19:15:32,,,,,1.0,,,,,,,,,,,,,,
2024-01-25 22:00:52,1.0,,,1.0,,,,,,,,,1.0,,,,,,
2024-01-20 13:47:30,,2.0,1.0,4.0,2.0,,2.0,,19.0,8.0,,,,,,,,,
2024-02-15 18:07:12,,1.0,2.0,2.0,,,,,,,,,,,,,,,
2023-11-08 18:05:15,2.0,2.0,,,,,,,,1.0,,,,,,,,,
2024-01-18 18:17:45,1.0,,,,,,,,,,,,,,,,,,
2024-02-19 18:24:17,5.0,1.0,,,2.0,,,,,,,,,,,,,,
2023-12-11 22:14:32,,2.0,,2.0,,,,,,,,,,,,,,,
2024-01-15 10:00:27,1.0,,,,,,,,,,,,,,,,,,
2023-11-17 11:02:50,3.0,,,,2.0,,1.0,,,,,,,,,,,,
2024-02-15 21:29:00,1.0,,,2.0,,,,,,1.0,,,,,,,,,
2023-12-21 00:19:44,1.0,,,,,,,,,,,,,,,,,,
2023-11-22 13:42:40,3.0,1.0,,,,,,,,,,,,,,,,,
2024-01-02 21:04:16,2.0,2.0,1.0,,5.0,,,,3.0,9.0,,,,,,,,,
2024-02-19 01:31:11,5.0,1.0,1.0,14.0,6.0,,3.0,,,1.0,,,1.0,,,,,,
2023-11-17 09:41:44,,1.0,,,,,,,,,,,,,,,,,
2024-01-29 09:01:02,,1.0,,,,,,,,,,,,,,,,,
2024-01-15 14:50:12,1.0,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,
2023-12-08 23:54:59,1.0,6.0,,1.0,1.0,,,,2.0,2.0,,,,,,,,,
2024-01-16 00:37:04,2.0,1.0,,,,,,,,,,9.0,,,,,,,
2023-11-30 21:49:14,4.0,1.0,,1.0,3.0,,,,3.0,,,,,,,,,,
2023-11-13 18:12:10,1.0,1.0,,,,,,,,,,3.0,,,,,,,
2023-11-09 00:44:04,3.0,4.0,1.0,,,,,,,1.0,,,,,,,,,
2024-01-18 14:00:34,,2.0,,,,,,,,,,,,,,,,,
2024-01-24 00:00:00,,2.0,,,,,,,,,,,,,,,,,
2024-02-04 22:00:23,2.0,2.0,,1.0,3.0,,,,,,,,,,,,,,2.0
2024-02-19 02:33:35,4.0,4.0,1.0,12.0,9.0,,,,,4.0,,1.0,1.0,,,,,,
2023-11-09 19:48:20,5.0,2.0,,,8.0,,1.0,,3.0,5.0,,,,,,,,,
2023-11-16 05:43:08,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,,
2024-02-02 19:50:12,2.0,1.0,3.0,,2.0,,,,1.0,5.0,,,,,,,,,
2024-02-01 21:56:26,3.0,,1.0,1.0,2.0,,,,,1.0,,,,,,,,,
2024-01-25 22:44:13,,,,,,,,,,,,,,,,,,,
2024-01-19 19:02:24,,,,,,,,,,,,,,,,,,,
2023-12-11 18:52:19,,,,3.0,9.0,,2.0,,1.0,3.0,,,,,,,,,
2023-11-19 09:30:33,,,,,1.0,,,,,,,,,,,,,,
2023-11-13 20:23:02,2.0,2.0,,1.0,1.0,,,,,,,5.0,,,,,,,
2023-11-27 20:01:14,,3.0,,1.0,,,,,,,,,,,,,,,
2023-12-17 00:00:00,,,,,,,,,,1.0,,,,,,,,,
2023-12-04 09:35:52,,,,,,,,,,,,,,,,,,,
2023-12-06 00:28:14,,,,1.0,,,,,,,,,,,,,,,
2023-11-08 00:33:08,,2.0,,,,,,,,,,1.0,,,,,,,
2023-11-15 06:39:25,,,,,,,,,,,,,,,,,,,
2024-02-15 01:31:37,,,,2.0,2.0,,,,,1.0,,,,,,,,,
2024-02-15 19:06:16,1.0,3.0,,,,,,,,1.0,,,,,,,,,
2023-12-27 03:17:03,1.0,,,,1.0,2.0,,,1.0,1.0,,,,,1.0,,,,
2024-02-03 14:55:28,4.0,3.0,,,1.0,,,,,,1.0,,,,,,,,
2024-02-05 20:00:23,8.0,7.0,1.0,3.0,12.0,1.0,4.0,,,4.0,,,,,,,,,
2024-02-08 17:23:13,3.0,2.0,,,1.0,,,1.0,,1.0,,,,,,,,,
2023-12-04 13:23:32,2.0,1.0,,,1.0,,,,,,,,,,,,,,
2023-12-03 05:30:05,,2.0,,1.0,,,,,,,,,,,,,,,
2024-01-08 08:38:42,12.0,3.0,5.0,8.0,2.0,,10.0,,,10.0,,,,,,,,,
2024-02-15 11:52:49,6.0,,,3.0,6.0,1.0,2.0,,,1.0,,,,,,,,,
2023-11-11 11:44:17,6.0,8.0,,,,,,,,,,,,,,,,,
2024-01-23 16:03:12,,,,,,,,,,,,,,,,,,,
2023-11-20 14:49:30,2.0,1.0,,,2.0,,,,,,,,1.0,,,,,,
2023-12-07 20:56:27,,,,,,,,,,,,,,,,,,,
2023-12-06 17:39:36,4.0,2.0,,1.0,1.0,,,,,,,,,,,,,,
2023-11-08 14:40:25,4.0,,,,,,,,,,,,,,,,,,
2023-11-09 08:04:07,,1.0,,,1.0,,,,,,,,,,,,,,
2023-11-21 07:36:30,9.0,3.0,,16.0,5.0,,4.0,,,6.0,,,,,,,,,
2023-12-14 00:19:53,,2.0,,1.0,3.0,,2.0,,,1.0,,,,,,,,,
2023-11-22 15:49:36,4.0,,1.0,,,,,,,2.0,,,,,,,,,
2023-11-16 13:07:06,5.0,,,1.0,1.0,,,,,,,,,,,,,,
2023-11-18 02:13:33,,,,,,1.0,,,,,,,,,,,,,
2024-01-26 17:17:01,2.0,2.0,2.0,1.0,,,1.0,4.0,,4.0,,1.0,,,,,,,
2024-02-19 17:04:09,,1.0,,,,,,,,,,,,,,,,,
2024-02-01 15:01:19,,,,,3.0,,,,,,,,,,,,,,
2023-11-20 13:26:37,,1.0,,,,,,,,1.0,,,,,,,,,
2024-01-31 06:00:55,,,,,,,,,,,,,,,,,,,
2023-12-11 13:54:46,1.0,,1.0,1.0,11.0,,,1.0,5.0,2.0,,,,,,,,,
2023-11-23 05:51:18,2.0,2.0,,,3.0,,,,,4.0,,,,,,,,,
2024-02-08 08:46:40,4.0,10.0,,22.0,9.0,,1.0,1.0,4.0,12.0,,,,,,,,,
2023-11-21 12:31:26,10.0,6.0,,1.0,1.0,,,,,,,,,,,,,,
2023-11-04 15:24:56,1.0,,,,,,,,,,,,,,,,,,
2023-12-04 09:05:59,2.0,6.0,1.0,2.0,12.0,,1.0,2.0,4.0,2.0,,,,,,,,,
2023-11-23 09:00:23,,3.0,,3.0,,,,,,,,,,,,,,,
2023-11-06 14:00:41,4.0,1.0,20.0,10.0,1.0,,,,,,,,,,,,,,
2023-11-06 17:18:42,,,,,,,,,,,,,,,,,,,
2024-01-02 07:19:53,17.0,1.0,2.0,3.0,8.0,,2.0,,,6.0,,,1.0,,,,,,
2024-01-29 00:55:28,11.0,12.0,,3.0,12.0,,2.0,,,8.0,,1.0,,,,,,,
2023-11-09 08:47:15,15.0,1.0,,,1.0,,,,,,,,,,,,,,
2024-01-04 16:00:46,5.0,1.0,,,5.0,,,,,9.0,,,,,,,,,
2023-12-06 12:56:45,2.0,,,,,,,,,,,,,,,,,,
2023-12-27 00:14:45,,,,,,,,,,,,,,,,,,,
2023-11-08 20:53:56,4.0,6.0,,,3.0,,,,,,,,,,1.0,,,,
2023-11-05 14:54:49,1.0,1.0,1.0,4.0,8.0,1.0,,,,3.0,1.0,1.0,,,,,,,
2023-11-18 05:58:53,4.0,,,,1.0,,,,1.0,,,,,,,,,,
2023-11-16 05:00:06,,,,,,,,,,,,,,,,,,,
2024-01-08 04:20:08,,,,,,,,,,,,,,,,,,,
2023-11-01 15:54:08,,,,,2.0,,1.0,,,,,,,,,,,,
